class,sic_start,sic_end,desc,details,ind_def
1,100,999,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,2000,2399,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,2700,2749,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,2770,2799,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3100,3199,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3940,3989,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,2500,2519,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,2590,2599,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3630,3659,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3710,3711,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3714,3714,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3716,3716,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3750,3751,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3792,3792,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3900,3939,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,3990,3999,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,5000,5999,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,7200,7299,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
1,7600,7699,Cnsmr,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5
2,2520,2589,Manuf,"Manufacturing, Energy, and Utilities",5
2,2600,2699,Manuf,"Manufacturing, Energy, and Utilities",5
2,2750,2769,Manuf,"Manufacturing, Energy, and Utilities",5
2,2800,2829,Manuf,"Manufacturing, Energy, and Utilities",5
2,2840,2899,Manuf,"Manufacturing, Energy, and Utilities",5
2,3000,3099,Manuf,"Manufacturing, Energy, and Utilities",5
2,3200,3569,Manuf,"Manufacturing, Energy, and Utilities",5
2,3580,3621,Manuf,"Manufacturing, Energy, and Utilities",5
2,3623,3629,Manuf,"Manufacturing, Energy, and Utilities",5
2,3700,3709,Manuf,"Manufacturing, Energy, and Utilities",5
2,3712,3713,Manuf,"Manufacturing, Energy, and Utilities",5
2,3715,3715,Manuf,"Manufacturing, Energy, and Utilities",5
2,3717,3749,Manuf,"Manufacturing, Energy, and Utilities",5
2,3752,3791,Manuf,"Manufacturing, Energy, and Utilities",5
2,3793,3799,Manuf,"Manufacturing, Energy, and Utilities",5
2,3860,3899,Manuf,"Manufacturing, Energy, and Utilities",5
2,1200,1399,Manuf,"Manufacturing, Energy, and Utilities",5
2,2900,2999,Manuf,"Manufacturing, Energy, and Utilities",5
2,4900,4949,Manuf,"Manufacturing, Energy, and Utilities",5
3,3570,3579,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,3622,3622,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,3660,3692,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,3694,3699,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,3810,3839,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7370,7372,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7373,7373,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7374,7374,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7375,7375,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7376,7376,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7377,7377,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7378,7378,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7379,7379,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,7391,7391,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,8730,8734,HiTec,"Business Equipment, Telephone and Television Transmission",5
3,4800,4899,HiTec,"Business Equipment, Telephone and Television Transmission",5
4,2830,2839,Hlth,"Healthcare, Medical Equipment, and Drugs",5
4,3693,3693,Hlth,"Healthcare, Medical Equipment, and Drugs",5
4,3840,3859,Hlth,"Healthcare, Medical Equipment, and Drugs",5
4,8000,8099,Hlth,"Healthcare, Medical Equipment, and Drugs",5
5,-9999,-9999,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",5
1,100,999,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",10
1,2000,2399,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",10
1,2700,2749,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",10
1,2770,2799,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",10
1,3100,3199,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",10
1,3940,3989,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",10
2,2500,2519,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,2590,2599,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3630,3659,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3710,3711,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3714,3714,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3716,3716,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3750,3751,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3792,3792,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3900,3939,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
2,3990,3999,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",10
3,2520,2589,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,2600,2699,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,2750,2769,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,2800,2829,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,2840,2899,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3000,3099,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3200,3569,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3580,3621,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3623,3629,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3700,3709,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3712,3713,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3715,3715,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3717,3749,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3752,3791,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3793,3799,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
3,3860,3899,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",10
4,1200,1399,Enrgy,"Oil, Gas, and Coal Extraction and Products",10
4,2900,2999,Enrgy,"Oil, Gas, and Coal Extraction and Products",10
5,3570,3579,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,3622,3622,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,3660,3692,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,3694,3699,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,3810,3839,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7370,7372,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7373,7373,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7374,7374,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7375,7375,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7376,7376,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7377,7377,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7378,7378,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7379,7379,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,7391,7391,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
5,8730,8734,HiTec,"Business Equipment -- Computers, Software, and Electronic Equipment",10
6,4800,4899,Telcm,Telephone and Television Transmission,10
7,5000,5999,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",10
7,7200,7299,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",10
7,7600,7699,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",10
8,2830,2839,Hlth,"Healthcare, Medical Equipment, and Drugs",10
8,3693,3693,Hlth,"Healthcare, Medical Equipment, and Drugs",10
8,3840,3859,Hlth,"Healthcare, Medical Equipment, and Drugs",10
8,8000,8099,Hlth,"Healthcare, Medical Equipment, and Drugs",10
9,4900,4949,Utils,Utilities,10
10,-9999,-9999,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment, Finance",10
1,100,999,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",12
1,2000,2399,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",12
1,2700,2749,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",12
1,2770,2799,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",12
1,3100,3199,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",12
1,3940,3989,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",12
2,2500,2519,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,2590,2599,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3630,3659,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3710,3711,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3714,3714,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3716,3716,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3750,3751,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3792,3792,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3900,3939,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
2,3990,3999,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",12
3,2520,2589,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,2600,2699,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,2750,2769,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3000,3099,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3200,3569,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3580,3629,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3700,3709,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3712,3713,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3715,3715,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3717,3749,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3752,3791,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3793,3799,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3830,3839,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
3,3860,3899,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",12
4,1200,1399,Enrgy,"Oil, Gas, and Coal Extraction and Products",12
4,2900,2999,Enrgy,"Oil, Gas, and Coal Extraction and Products",12
5,2800,2829,Chems,Chemicals and Allied Products,12
5,2840,2899,Chems,Chemicals and Allied Products,12
6,3570,3579,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",12
6,3660,3692,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",12
6,3694,3699,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",12
6,3810,3829,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",12
6,7370,7379,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",12
7,4800,4899,Telcm,Telephone and Television Transmission,12
8,4900,4949,Utils,Utilities,12
9,5000,5999,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",12
9,7200,7299,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",12
9,7600,7699,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",12
